#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1403636584613555456,-2.387784376310464474e-02,5.829645182063653702e-03,-1.703195702421417268e-03,5.599361554844620725e-01,-5.516099915164820316e-02,-8.257984356603526033e-01,-3.854490387569812354e-02
1403636584663555584,-2.688900101953939359e-02,6.800846578540166443e-03,3.371232168113395128e-02,5.683538303140923675e-01,-5.813358514942425920e-02,-8.196827570299191068e-01,-4.140757989553841417e-02
1403636584713555456,-2.873598232044196482e-02,7.519462696683971124e-03,6.735382990879876242e-02,5.772357363723563672e-01,-5.982773090961403945e-02,-8.131672350013681161e-01,-4.448140273305244141e-02
1403636584763555584,-2.951317908756161124e-02,7.771563732105415782e-03,9.864530780024646783e-02,5.850589870262655756e-01,-6.218638707389255449e-02,-8.071800403089618436e-01,-4.795015630129736278e-02
1403636584813555456,-3.064846166856123599e-02,7.810154470129998007e-03,1.268395210719056310e-01,5.916805464634247169e-01,-6.330263440528113850e-02,-8.021530366175637639e-01,-4.957230334890797008e-02
1403636584863555584,-3.005408598248797761e-02,7.487423458177301649e-03,1.511746834033342590e-01,5.973677347758280520e-01,-6.554034598685211377e-02,-7.977594597640988994e-01,-4.935683188387224307e-02
1403636584913555456,-2.929070063003702887e-02,7.091784877267006716e-03,1.699228278233362310e-01,6.013859812888912026e-01,-6.645424557752489803e-02,-7.947296081524816147e-01,-4.820357538318838231e-02
1403636584963555584,-2.867076325201514675e-02,6.212122199704295245e-03,1.815501296621643557e-01,6.032369481653432342e-01,-6.941421557993414371e-02,-7.931196057883882489e-01,-4.741457537147193702e-02
1403636585013555456,-2.869393992873920871e-02,5.881494456146112333e-03,1.860322612719647883e-01,6.032618488648969768e-01,-7.126355143206984655e-02,-7.928850326296500439e-01,-4.826979359054636015e-02
1403636585063555584,-2.869257424194247494e-02,5.411692206176149135e-03,1.829594564874499063e-01,6.021061790215858078e-01,-7.316602403003737154e-02,-7.935406908162933037e-01,-4.907192813067286913e-02
1403636585113555456,-2.930961084338039313e-02,5.331847713416185304e-03,1.729361319327897550e-01,6.003618140200714937e-01,-7.375680237184888133e-02,-7.948258094815987551e-01,-4.876021895285586466e-02
1403636585163555584,-3.023910053986691299e-02,5.486848675704597209e-03,1.569904110025111266e-01,5.977072778485407190e-01,-7.543787937654630738e-02,-7.965418597041883375e-01,-5.075630109701013276e-02
1403636585213555456,-3.068510243160926451e-02,6.453100664395306808e-03,1.362313176231245981e-01,5.950977261138585828e-01,-7.673109985176511383e-02,-7.982155046702463785e-01,-5.313231402524362657e-02
1403636585263555584,-3.126585324170206431e-02,8.368925140331868670e-03,1.121134180287066406e-01,5.921587651431504673e-01,-7.595311834493125025e-02,-8.001766353138948240e-01,-5.741491945090913818e-02
1403636585313555456,-3.185388432833346356e-02,1.024348529479475987e-02,8.628911333307469345e-02,5.896154392046141224e-01,-7.523167263263130788e-02,-8.018659244613017822e-01,-6.086763074301887455e-02
1403636585363555584,-3.218202541035274783e-02,1.300319076628601508e-02,5.890551727295487150e-02,5.867926275029995420e-01,-7.273132162170936610e-02,-8.039433298435251229e-01,-6.371569322694659032e-02
1403636585413555456,-3.268270939428053606e-02,1.543791822536878799e-02,3.162511158056111743e-02,5.837795917868474627e-01,-7.147411294774515256e-02,-8.061574621899492143e-01,-6.483043688712530894e-02
1403636585463555584,-3.191451281649510668e-02,1.649438253106882274e-02,4.476298100365871079e-03,5.802603831572176185e-01,-6.845951365741799466e-02,-8.091201831710654879e-01,-6.273525255588251193e-02
1403636585513555456,-2.984821798351701416e-02,1.719801245006798845e-02,-2.157291093888900196e-02,5.757517431355505533e-01,-6.623755846432494154e-02,-8.126785212855559548e-01,-6.063115672805915318e-02
1403636585563555584,-2.616855358650111568e-02,1.716852483685150921e-02,-4.582515742064916658e-02,5.714817405038613574e-01,-6.243559112377101289e-02,-8.163427620684284847e-01,-5.563193372687836452e-02
1403636585613555456,-2.087319232926293511e-02,1.664938847085417270e-02,-6.722526923139202082e-02,5.668223795525851871e-01,-5.928648811384916451e-02,-8.202179732420142866e-01,-4.939614090426189957e-02
1403636585663555584,-1.533766308118116907e-02,1.580211245972109116e-02,-8.480268494461079554e-02,5.616234525658367893e-01,-5.750943249230036636e-02,-8.242999387182334825e-01,-4.244259336514692726e-02
1403636585713555456,-8.963145262417289774e-03,1.431540008564185021e-02,-9.866819966752621296e-02,5.557056029569171773e-01,-5.623900395288571052e-02,-8.287192932522409183e-01,-3.539477741395004318e-02
1403636585763555584,-3.357150061816359474e-03,1.351161249544224376e-02,-1.086532710063405072e-01,5.494731470233463755e-01,-5.646869817221469856e-02,-8.330634478917182673e-01,-2.993056320481781579e-02
1403636585813555456,2.186614496110790822e-03,1.230919514617357692e-02,-1.152487404355274359e-01,5.430513757270439834e-01,-5.739847247079797599e-02,-8.374066876278182248e-01,-2.346610737190317833e-02
1403636585863555584,7.445981603163522554e-03,1.126064889012540031e-02,-1.186470300525742372e-01,5.357836940665290371e-01,-5.824766108966729361e-02,-8.421486419116483990e-01,-1.813030822609617079e-02
1403636585913555456,1.238469536593825304e-02,1.004836225563703229e-02,-1.197911343946538032e-01,5.279823925725267708e-01,-5.949092310649184423e-02,-8.470555039022519273e-01,-1.387070691168241186e-02
1403636585963555584,1.665152212459168959e-02,9.210368661514355473e-03,-1.197229574999694873e-01,5.186769429360654771e-01,-6.190149664039587551e-02,-8.526395021267126895e-01,-1.217838221145427571e-02
1403636586013555456,2.014694544609583679e-02,8.629628733816089789e-03,-1.189356205225916702e-01,5.081059846472719688e-01,-6.593459885109519136e-02,-8.586711612204833699e-01,-1.283642973097229648e-02
1403636586063555584,2.313948402010902738e-02,8.548597438300331586e-03,-1.177517941895138559e-01,4.971001382357799758e-01,-7.047553336176824723e-02,-8.646485605765384941e-01,-1.753620415777513639e-02
1403636586113555456,2.613480796228830408e-02,7.606508727129079710e-03,-1.158120548456700039e-01,4.876799099984045482e-01,-7.574489095030313701e-02,-8.694707860599868443e-01,-2.125015451952212697e-02
1403636586163555584,2.915116949318048017e-02,5.510041231703509054e-03,-1.131876254465599835e-01,4.791532577609762256e-01,-8.076747370183856578e-02,-8.736805813528633058e-01,-2.389586859247699521e-02
1403636586213555456,3.202439480919624243e-02,3.051270411920194593e-03,-1.112628665335825134e-01,4.711722112708311427e-01,-8.422984726789943533e-02,-8.776870658020609062e-01,-2.382214682076738699e-02
1403636586263555584,3.598800797611485108e-02,4.330066627497340475e-04,-1.089879410915308711e-01,4.620378071174851553e-01,-8.615083847565857544e-02,-8.823654766972832686e-01,-2.302744789990586113e-02
1403636586313555456,4.029910350258817525e-02,-1.587926151911948436e-03,-1.070293820023011933e-01,4.526440490828225194e-01,-8.915277382097167025e-02,-8.869605019107287269e-01,-2.159203094204963785e-02
1403636586363555584,4.530361320171548412e-02,-2.868184890919461220e-03,-1.057840636506758025e-01,4.434688688071616314e-01,-9.155188651091077101e-02,-8.913673912931766585e-01,-2.043986825757293166e-02
1403636586413555456,5.133776763590058162e-02,-4.447913463657222378e-03,-1.039626155312309702e-01,4.338559248296418591e-01,-9.467480543228583290e-02,-8.958047197310394782e-01,-1.842883105812024441e-02
1403636586463555584,5.719675364207665175e-02,-4.612012397567847102e-03,-1.031913923545990652e-01,4.252286382422952316e-01,-9.480672835575237878e-02,-8.999276199703072354e-01,-1.796018629247140425e-02
1403636586513555456,6.271383621347229043e-02,-3.693932252404552152e-03,-1.021014079746304787e-01,4.174708225457106625e-01,-9.429056733004344271e-02,-9.036114930450885874e-01,-1.771075583966810058e-02
1403636586563555584,6.684267965236388720e-02,-2.074737259440673481e-03,-1.006559845853770008e-01,4.117866045832545563e-01,-9.302703826654154518e-02,-9.063689008147353121e-01,-1.652809949868666584e-02
1403636586613555456,7.004128934215657354e-02,8.321001985817603076e-04,-9.839681906298462788e-02,4.083887709270700439e-01,-9.203068766185029670e-02,-9.080268809669498342e-01,-1.536709961563616222e-02
1403636586663555584,7.175417610891461628e-02,4.931183016861643599e-03,-9.571772777943352017e-02,4.073597491317674235e-01,-9.265185758209834588e-02,-9.084317789173411706e-01,-1.501236580173999184e-02
1403636586713555456,7.238767819870187137e-02,9.692008878795278087e-03,-9.342997048676388028e-02,4.096235674189345199e-01,-9.209229282398778693e-02,-9.074834951367558578e-01,-1.418621414556996314e-02
1403636586763555584,7.214307625941289437e-02,1.418918863422214023e-02,-9.166674951989854658e-02,4.126108419492500734e-01,-9.147168275606289145e-02,-9.062240233835098246e-01,-1.196845028853629062e-02
1403636586813555456,7.069068201345950209e-02,1.893502685535570357e-02,-9.034438566753873190e-02,4.161526587775731256e-01,-9.044369233680028819e-02,-9.047217482742757610e-01,-1.074529238230586409e-02
1403636586863555584,6.905565374091082731e-02,2.266250064181011409e-02,-9.021127169816930969e-02,4.192953785210298268e-01,-8.909374711163886573e-02,-9.034080744512156258e-01,-1.037018769649428705e-02
